文件路径,错误类型
./php/shell\ba120abac165a5a30044428fac1970d8.php,漏报
./php/shell\bb4e7c925a14552da321db28af2de597.php,漏报
./php/normal\cdd2c5bb7478e5f10b775ff0bae8f74e.php,误报
./php/shell\993b9c1afdba4d633d5d407c5682ca76.php,漏报
./php/normal\1a135c1e8967df339fc62ae3f1ac1cab.php,误报
./php/shell\2578b9d152ce01afa9224b77d9d4ee0a.php,漏报
./php/shell\d01144c04e7a46870a8dd823eb2fe5c8.php,漏报
./php/normal\e1e0347d5c1698962b654a251f17d37a.php,误报
./php/shell\07597260aeab67e8fdf1b8e5fb10b7a9.php,漏报
./php/normal\1a05744c8ffe4a5b92e1585778f043c0.php,误报
./php/shell\f532645418b3383707936eeda6971daa.php,漏报
./php/shell\a6b9ce765692cbef2ce0d890ecad70c3.php,漏报
./php/normal\c87aab0f56b3cbc69df909bf0133b719.php,误报
./php/shell\879deace0eb82785a981c77f2b274a2d.php,漏报
./php/shell\759f0ed2a14b75a4c00c7d7e75d211a5.php,漏报
./php/shell\b68b90ff6012a103e57d141ed38a7ee9.php,漏报
./php/shell\db98cb76d5a402bd58973dc96781996f.php,漏报
./php/shell\b93b852373b168a6d765edca24c66807.php,漏报
./php/shell\a60d2c0ac3d49f7b74d9e197dd4f1260.php,漏报
./php/normal\6c486da7dd9382b4b9948e189e6dad9c.php,误报
./php/shell\7158f517db602bba423714ed45a2d324.php,漏报
./php/shell\436dcbbde6afb2a9c28ab236eac2e2a1.php,漏报
./php/normal\ae2d0d94d50b40d324ccd09122b21cb9.php,误报
