文件路径,错误类型
./php/shell\bae56ed6328446eb3c83f4fa376e3e3d.php,漏报
./php/shell\87b6a75d418407fcbd81fb46c2f52f26.php,漏报
./php/normal\e1e0347d5c1698962b654a251f17d37a.php,误报
./php/normal\6df393104a70a182aec40cf9be0eeec3.php,误报
./php/normal\1a135c1e8967df339fc62ae3f1ac1cab.php,误报
./php/normal\89186b542e00645dfabe530f502f48ea.php,误报
./php/shell\472e26dc05dd5dd1cc887136cb53a553.php,漏报
./php/shell\a105367c9d4f571302a34157abb96fc8.php,漏报
./php/shell\e150f332b4dfb0b93b05b025a5a5fc82.php,漏报
./php/normal\cdd2c5bb7478e5f10b775ff0bae8f74e.php,误报
./php/normal\c6816eea6f6ba2a3aa5585d64dc0e7cb.php,误报
./php/shell\c6bdc2f7e8d0d580be5719e96b40d561.php,漏报
./php/shell\73ad4c144fa2021270c2411f5a7ac8a1.php,漏报
./php/normal\be2ac4fbd0fb59c28807ff44a015acd4.php,误报
./php/normal\d597ef77368fd4f084e831ad012f9629.php,误报
./php/shell\9063552607dea7fb68f8b63636f73a0e.php,漏报
